-0.031500,-0.048000,-0.144000
-0.037500,-0.043500,-0.144000
-0.036000,-0.046500,-0.141000
-0.030000,-0.045000,-0.144000
-0.031500,-0.045000,-0.147000
-0.031500,-0.051000,-0.144000
-0.033000,-0.046500,-0.145500
-0.030000,-0.045000,-0.142500
0.129000,-0.042000,-0.144000
-0.028500,-0.045000,-0.142500
-0.034500,-0.043500,-0.145500
-0.036000,-0.043500,-0.141000
-0.033000,-0.043500,-0.144000
-0.033000,-0.045000,-0.148500
-0.033000,-0.048000,-0.145500
-0.031500,-0.043500,-0.142500
-0.037500,-0.046500,-0.142500
-0.036000,-0.046500,-0.144000
-0.034500,-0.042000,-0.141000
-0.037500,-0.042000,-0.144000
-0.034500,-0.043500,-0.144000
-0.036000,-0.043500,-0.144000
-0.039000,-0.045000,-0.141000
-0.021000,-0.040500,-0.147000
0.010500,-0.043500,-0.148500
0.042000,-0.049500,-0.145500
0.070500,-0.058500,-0.138000
0.093000,-0.069000,-0.114000
0.118500,-0.073500,-0.097500
0.133500,-0.075000,-0.081000
0.145500,-0.081000,-0.061500
0.153000,-0.088500,-0.027000
0.153000,-0.088500,0.024000
0.142500,-0.090000,0.069000
0.130500,-0.090000,0.100500
0.118500,-0.076500,0.124500
0.102000,-0.063000,0.147000
0.082500,-0.034500,0.172500
0.030000,-0.012000,0.189000
-0.004500,0.000000,0.192000
-0.037500,0.007500,0.190500
-0.057000,0.016500,0.184500
0.001500,0.025500,0.190500
0.040500,-0.015000,0.184500
0.066000,-0.045000,0.172500
0.102000,-0.084000,0.127500
0.127500,-0.118500,0.049500
0.142500,-0.093000,-0.069000
0.115500,0.031500,-0.117000
0.090000,0.112500,-0.090000
0.091500,0.148500,-0.033000
0.097500,0.154500,0.006000
0.120000,0.136500,0.046500
0.135000,0.106500,0.087000
0.138000,0.072000,0.111000
0.124500,0.045000,0.135000
0.115500,0.022500,0.147000
0.109500,0.009000,0.162000
0.106500,0.000000,0.160500
0.109500,-0.003000,0.157500
0.117000,-0.010500,0.150000
0.124500,-0.022500,0.135000
0.135000,-0.040500,0.124500
0.133500,-0.057000,0.112500
0.127500,-0.073500,0.112500
0.109500,-0.096000,0.109500
0.118500,-0.096000,0.102000
0.133500,-0.081000,0.097500
0.139500,-0.069000,0.093000
0.144000,-0.067500,0.090000
0.147000,-0.064500,0.093000
0.148500,-0.064500,0.096000
0.145500,-0.066000,0.097500
0.144000,-0.060000,0.097500
0.145500,-0.058500,0.097500
0.144000,-0.064500,0.099000
0.139500,-0.070500,0.100500
0.139500,-0.060000,0.099000
0.139500,-0.060000,0.105000
0.138000,-0.061500,0.099000
0.138000,-0.069000,0.102000
0.135000,-0.073500,0.102000
0.124500,-0.073500,0.115500
0.084000,-0.064500,0.153000
0.049500,-0.064500,0.169500
0.016500,-0.063000,0.180000
-0.024000,-0.055500,0.184500
-0.043500,-0.043500,0.183000
-0.061500,-0.030000,0.184500
-0.073500,-0.001500,0.186000
-0.082500,0.007500,0.181500
-0.100500,0.010500,0.172500
-0.097500,0.012000,0.168000
-0.093000,0.015000,0.175500
-0.087000,0.027000,0.172500
-0.093000,0.034500,0.169500
-0.087000,0.049500,0.172500
-0.087000,0.073500,0.165000
-0.069000,0.112500,0.142500
-0.046500,0.162000,0.105000
-0.004500,0.178500,0.061500
0.025500,0.186000,0.025500
0.043500,0.183000,-0.007500
0.069000,0.162000,-0.031500
0.087000,0.130500,-0.075000
0.108000,0.102000,-0.091500
0.124500,0.087000,-0.078000
0.157500,0.073500,-0.048000
0.178500,0.037500,-0.009000
